effects,name,pageUrl
Uplifted; Relaxed; Happy; Euphoric; Creative,Beastmode OG,https://www.leafly.com/hybrid/beast-mode-og
Creative; Euphoric; Uplifted; Happy; Relaxed,Belladonna,https://www.leafly.com/hybrid/belladonna
Happy; Relaxed; Euphoric; Uplifted; Tingly,Berry Bomb,https://www.leafly.com/hybrid/berry-bomb
Relaxed; Happy; Euphoric; Giggly; Uplifted,Berry OG,https://www.leafly.com/hybrid/berry-og
Relaxed; Creative; Energetic; Euphoric; Talkative,Bettie Page,https://www.leafly.com/hybrid/bettie-page
,Bhang 707 Headband,https://www.leafly.com/hybrid/bhang-707-headband
,Bhang AK-47,https://www.leafly.com/hybrid/bhang-ak-47
,Bhang Alien OG,https://www.leafly.com/hybrid/bhang-alien-og
,Bhang Banana Diesel,https://www.leafly.com/hybrid/bhang-banana-diesel
,Bhang Banana Kush,https://www.leafly.com/hybrid/bhang-banana-kush
,Bhang Blue Diesel,https://www.leafly.com/hybrid/bhang-blue-diesel
,Bhang Bubble Gum,https://www.leafly.com/hybrid/bhang-bubble-gum
,Bhang Cali Orange,https://www.leafly.com/hybrid/bhang-cali-orange
Euphoric; Relaxed,Bhang Charlie Sheen,https://www.leafly.com/hybrid/bhang-charlie-sheen
Dry Mouth; Focused; Relaxed,Bhang Cheese,https://www.leafly.com/hybrid/bhang-cheese
Energetic; Happy; Relaxed; Uplifted,Bhang ChemDawg,https://www.leafly.com/hybrid/bhang-chemdawg
,Bhang Cherry Pie,https://www.leafly.com/hybrid/bhang-cherry-pie
Focused; Hungry,Bhang Dutch Treat,https://www.leafly.com/hybrid/bhang-dutch-treat
,Bhang Earth OG,https://www.leafly.com/hybrid/bhang-earth-og
,Bhang Fire OG,https://www.leafly.com/hybrid/bhang-fire-og
,Bhang Ghost OG,https://www.leafly.com/hybrid/bhang-ghost-og
Relaxed; Happy; Euphoric; Uplifted; Aroused,Bhang Girl Scout Cookies,https://www.leafly.com/hybrid/bhang-girl-scout-cookies
Happy; Relaxed; Uplifted,Bhang Headband,https://www.leafly.com/hybrid/bhang-headband
Dry Eyes; Dry Mouth; Euphoric; Happy; Hungry,Bhang Holy Grail,https://www.leafly.com/hybrid/bhang-holy-grail
Energetic; Euphoric; Creative; Focused; Happy,Bhang J-1,https://www.leafly.com/hybrid/bhang-j-1
,Bhang Jack Frost,https://www.leafly.com/hybrid/bhang-jack-frost
Relaxed; Creative; Energetic; Euphoric; Happy,Bhang Juicy Fruit,https://www.leafly.com/hybrid/bhang-juicy-fruit
,Bhang Lemon Diesel,https://www.leafly.com/hybrid/bhang-lemon-diesel
Hungry; Relaxed; Uplifted,Bhang Lemon Skunk,https://www.leafly.com/hybrid/bhang-lemon-skunk
,Bhang OG Kush,https://www.leafly.com/hybrid/bhang-og-kush
Relaxed; Uplifted; Euphoric; Tingly; Creative,Bhang Perfecto Hybrid,https://www.leafly.com/hybrid/bhang-perfecto-hybrid
Happy; Relaxed; Focused; Giggly; Hungry,Bhang Pineapple Express,https://www.leafly.com/hybrid/bhang-pineapple-express
Energetic; Euphoric; Giggly; Happy; Relaxed,Bhang Pineapple Kush,https://www.leafly.com/hybrid/bhang-pineapple-kush
,Bhang Purple AK-47,https://www.leafly.com/hybrid/bhang-purple-ak-47
Relaxed; Dry Mouth; Euphoric; Focused; Happy,Bhang Purple Diesel,https://www.leafly.com/hybrid/bhang-purple-diesel
,Bhang SAGE,https://www.leafly.com/hybrid/bhang-sage
Dry Eyes; Dry Mouth; Euphoric; Happy; Hungry,Bhang Skunk #1,https://www.leafly.com/hybrid/bhang-skunk-1
Aroused; Creative; Dry Mouth; Energetic; Euphoric,Bhang Skywalker OG,https://www.leafly.com/hybrid/bhang-skywalker-og
Euphoric; Happy; Uplifted; Focused; Hungry,Bhang Sour OG,https://www.leafly.com/hybrid/bhang-sour-og
,Bhang Tahoe OG,https://www.leafly.com/hybrid/bhang-tahoe-og
,Bhang Trainwreck,https://www.leafly.com/hybrid/bhang-trainwreck
