effects,name,pageUrl
Effects Medical Negatives Uplifted Creative Euphoric Energetic Happy Stress Pain Depression Fatigue Lack of Appetite Dry Mouth Dry Eyes Dizzy Headache Paranoid,Apollo 11,https://www.leafly.com/hybrid/apollo-11
Effects Medical Negatives Euphoric Happy Uplifted Energetic Focused Stress Depression Nausea Muscle Spasms Fatigue Dry Mouth Dry Eyes Headache Paranoid Dizzy,Apollo 13,https://www.leafly.com/hybrid/apollo-13
Effects Medical Euphoric Giggly Relaxed Uplifted Energetic Pain Depression Lack of Appetite Muscle Spasms Stress,Appalachia,https://www.leafly.com/hybrid/appalachia
Effects Euphoric Focused Happy,Arctic Sun,https://www.leafly.com/hybrid/arctic-sun
Effects Medical Relaxed Creative Euphoric Energetic Focused Insomnia Stress Depression Headaches Pain,ArcticBlue,https://www.leafly.com/hybrid/arcticblue
Effects Medical Negatives Euphoric Relaxed Happy Uplifted Giggly Headaches Pain Stress Depression Fatigue Dry Eyes Dry Mouth Dizzy Paranoid,Armageddon,https://www.leafly.com/hybrid/armageddon
Effects Medical Negatives Relaxed Sleepy Aroused Dizzy Euphoric Insomnia Stress Dry Mouth,Armagnac,https://www.leafly.com/hybrid/armagnac
Effects Medical Negatives Relaxed Happy Euphoric Uplifted Creative Pain Stress Depression Eye Pressure Headaches Dry Mouth Dry Eyes Anxious Dizzy Headache,Ash,https://www.leafly.com/hybrid/ash
Effects Medical Negatives Euphoric Happy Relaxed Uplifted Hungry Stress Lack of Appetite Pain Depression Insomnia Dry Eyes Dry Mouth,Atmosphere,https://www.leafly.com/hybrid/atmosphere
Effects Medical Negatives Happy Relaxed Euphoric Energetic Talkative Stress Pain Headaches Muscle Spasms Depression Dry Eyes Dry Mouth,Atomic Goat,https://www.leafly.com/hybrid/atomic-goat
Effects Medical Negatives Relaxed Happy Euphoric Aroused Creative Stress Depression Pain Eye Pressure Headaches Dry Eyes Dry Mouth Dizzy Paranoid Headache,Atomic Northern Lights,https://www.leafly.com/hybrid/atomic-northern-lights
Effects Medical Negatives Aroused Focused Relaxed Hungry Tingly Pain Nausea Stress Insomnia Dizzy Dry Mouth Paranoid Headache,Avalon,https://www.leafly.com/hybrid/avalon
Effects Aroused Creative Dry Eyes Dry Mouth Euphoric,Avi,https://www.leafly.com/hybrid/avi
Effects Medical Negatives Relaxed Happy Focused Tingly Dry Mouth Pain Stress Muscle Spasms Inflammation Fatigue Dry Mouth Anxious Dizzy Headache,Avi-Dekel,https://www.leafly.com/hybrid/avi-dekel
Effects Medical Euphoric Happy Uplifted Relaxed Talkative Pain,B4,https://www.leafly.com/hybrid/b4
Effects Medical Negatives Relaxed Hungry Focused Happy Uplifted Stress Lack of Appetite Insomnia Fatigue Depression Dry Mouth Dry Eyes Anxious Paranoid Dizzy,BC Big Bud,https://www.leafly.com/hybrid/bc-big-bud
Effects Medical Negatives Happy Relaxed Hungry Uplifted Focused Pain Nausea Depression Fatigue Lack of Appetite Dry Mouth Paranoid Anxious Dry Eyes Dizzy,BC Roadkill,https://www.leafly.com/hybrid/bc-roadkill
Effects Medical Negatives Euphoric Relaxed Uplifted Happy Sleepy Insomnia Stress Depression Pain Dry Eyes Dry Mouth,BOG Bubble,https://www.leafly.com/hybrid/bog-bubble
Effects Medical Negatives Relaxed Euphoric Happy Uplifted Hungry Depression Stress Pain Lack of Appetite Headaches Dry Mouth,BSC,https://www.leafly.com/hybrid/bsc
Effects Medical Happy Aroused Talkative Uplifted Energetic Depression Insomnia Nausea Stress,Balmoral,https://www.leafly.com/hybrid/balmoral
